AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,Count,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEN HOOR, MARTEN",,MARTEN TEN HOOR,,1890-1967,,,,,,,":</strong></p>
<p>Educator, writer. Born:Apr. 21, 1890 in Franeker, Netherlands. Parents:Foppe Marten and Elizabeth Petranella (Kok) ten Hoor. Came to the U.S. in 1896; became a naturalized U.S. citizen, 1918. . Married:Marie Magdalen Schanz, Dec. 31, 1920. Served in the U.S. Army, WWI, 1918-1919.  Education:attended Calvin Jr. College in 1909; University of Michigan, A.B., A.M., Ph.D.   Worked as a  private tutor, 1909-1911; 1911-1944 taught successively at Washington College and the Universities of Michigan, Illinois, and Tulane;  professor of philosophy and dean of College of Arts and Science at University of Alabama, 1944-1960. Member Phi Beta Kappa, Oak Ridge Institute of Nuclear Studies (chairman, 1955-1958; on board of directors after 1958); awarded several honorary doctorates. Ten Hoor Hall on the University of Alabama campus, used for faculty offices and classrooms, is named in his honor.  Died October 10, 1976.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1962-1963.</p>
<p>","(s):</strong></p>
<p>The Problems of Thinking and Knowing. Ann Arbor, Mich.; Edwards Brothers, 1933.</p><p>Freedom Limited; an Essay on Democracy. University, Ala.; University of Alabama Press, 1954.</p><p>Education for Privacy. Tuscaloosa, Ala.; University of Alabama Press, 1960.</p><p>The Role of Music in Culture. Ann Arbor; University of Mich., 1961.</p>
<p>A Handbook for Teachers in Hospital Schools. University, Ala.; University of Alabama Press,  1962.</p>

				</div>",,"<p><strong>Papers; </strong></p>
<p>A collection of the papers of Marten ten Hoor is held by the Hoole Special Collections Library at the University of Alabama.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TENNILLE, ANTOINETTE CATHRYN, “TONI”",,ANTOINETTE CATHRYN “TONI” TENNILLE,,1940-present,,,,,,,#Null,#Null,#Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, ALFRED BARNABY",,ALFRED BARNABY THOMAS,,1896-1990,,,,,,,":</strong></p>
<p>Educator, writer. Born:Apr. 14, 1896 in Belt, Mont. Parents:Gethin C. and Alaice Josephine (Barnaby) Thomas. Married:Muriel Merle Goodburn, July 5, 1924. Children:Three. Education:University of California, A.B., M.A., Ph.D. Taught at University of California, 1923-1927; University of Oklahoma, 1927-1937; University of Alabama after 1937; served in U.S. Naval hospital unit, 1917-1918. Received University of California traveling fellowship to Spain 1925-1926; Guggenheim fellowship in Spain 1929-1930; member American Association of University Professors, Quivira Society, Asociacion de Escritores y Artistas Americanas: Cuba, and Instituto Panamericano de Geografia e Historia: Mexico. Died December 25, 1990.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1950.</p>
<p>","(s):</strong></p>
<p>Forgotten Frontiers; a Study of the Spanish Indian Policy of Don Juan Bautista de Anza, Governor of New Mexico, 1777-1787. University of Oklahoma Press, 1932.</p><p>Spanish Activities in the Lower Mississippi Valley, 1513-1698. New Orleans; Louisiana Historical Society, 1939.</p><p>The Plains Indians and New Mexico, 1751-1778. Albuquerque; University of New Mexico Press, 1940.</p><p>Teodoro de Croix and the Northern Frontier of New Spain, 1776-1783. Norman; University of Oklahoma Press, 1941.</p><p>Latin America, a History. New York; Macmillan, 1956.</p><p>The Chirichua Apache, 1695-1876. Albuquerque; University of New Mexico, 1959.</p>
<p>The Jicarilla Apache Indians; a History, 1598-1888. New York; Clearwater Publisher, 1973.</p>
<p>The Mescalero Apache, 1653-1874. New York; Clearwater Pub., 1973.</p><p>The Yavapai Indians; History in California, Arizona and New Mexico, 1582-1848. New York; Garland, 1974.</p>
<p>Report on Documentary Evidence Bearing on Early Colonial Structures in the Historic District. S.l.; Dept. of State Historic Pensacola Preservation Board, 1971.</p><p>After Coronado; Spanish Exploration Northeast of New Mexico, 1696-1727.... Norman; University of Oklahoma Press, 1935.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Alonso de Posada Report, 1686.... Pensacola, Fla.; Perdido Bay Press, 1982.</p>
<p>Map; Spanish Exploration Northeast of Santa Fe, 1696-1727. Norman; University of Oklahoma Press, 1935.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, CHAMINTNEY ELIZABETH",,CHAMINTNEY ELIZABETH THOMAS,,1899-1979,,,,,,,":</strong></p>
<p>Musician; teacher of music. Born:in St. Clair Co., Ala., 1899.  Married:Ralph Cage Thomas (Superintendent of Schools  in Russell County). Children:Four. Education:graduate of Maryville College (Tenn.). Taught grade school for 2 years; taught piano, organ, cello, and guitar in public school and privately. Wrote short stories and Bible stories for children.  Several times named Woman of the Year by Russellville, Ala.; elected to Alabama Women's Hall of Fame in 1986. Died 1979.</p>
<p>",":</strong></p>
<p>Tutwiler Collection, Birmingham Public Library; Anniston Star, Apr. 1, 1986; biographical sketch, Alabama Women's Hall of Fame website.</p>
<p>","(s):</strong></p>
<p>Hear the Lambs A-Crying. University, Ala.; Portals Press, 1975.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, DANIEL HARRISON",,DANIEL HARRISON THOMAS,,1904-1999,,,,,,,":</strong></p>
<p>Historian; college professor. Born:Dec. 6, 1904 in Wetumpka, Ala. Parents:Walther Elihu and Lucy (McCoy) Thomas. Married:Margaret McWhinney, May 28, 1939. Children:One. Education:University of Alabama, A.B., 1925,  M.A., 1929; postgraduate work at University of Chicago; University of Pennsylvania, Ph.D., 1934.   Taught history in public and private schools in Alabama, 1925-1930; Butler University, 1930-1931; University of Alabama, 1935-1936; University of Pennsylvania, 1936-1938; Temple University, 1938-1940; University of Rhode Island, 1940-1974; visiting summer professor at University of Alabama, Emory University, and University of Pennsylvania. Contributed articles to historical journals. Member American Historical Association, New England History Teachers Association, Phi Alpha Theta, and Phi Beta Kappa.  Awarded the rank of Officier, Ordre e Leopold II, by the King of Belgium.  Fulbright Research Fellow, 1960-61.  President of the Board of Trustees of the Kingston Free Library, 1956-74.</p>
<p>Died April 5, 1999.</p>
<p>",":</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>Fort Toulouse, the French Outpost at the Alibamos on the Coosa. Montgomery,   Ala.; Alabama State Dept. of Archives and History, 1960.</p>
<p>The Guarantee of Belgian Independence and Neutrality in European Diplomacy, 1830's-1930's.  D. H. Thomas, 1985.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Guide to the Diplomatic Archives of Western Europe. Philadelphia; University of   Pennsylvania Press, 1959.</p>
<p><strong>Contributor;</strong></p>
<p>Diplomacy in an Age of Nationalism.  Nijhoff, 1971.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, JOAB LANGSTON",,JOAB LANGSTON THOMAS,,1933-2014,,,,,,,":</strong> Botanist, educator; college president. Born:Feb. 14, 1933 in Holt, Ala. Parents:Ralph Cage and Chamintney Elizabeth (Stovall) Thomas. Married:Marly A. Dukes, Dec. 22, 1954. Children:Four. Education:Harvard University, A.B. (1955), A.M.(1957), Ph.D. (1959).  Cytotaxonomist at Arnold Arboretum of Harvard University, 1959-1961; taught at University of Alabama and directed its Herbarium, 1961-1976; director of UAi Arboretum, 1964-1976, and assistant dean of College of Arts and Sciences, 1964-1965 and in 1969; dean for student development, 1969-1974; vice president for student affairs, 1974-1976;  chancellor North Carolina State University, 1976-1981. President of the University of Alabama, 1981-88; president of Pennsylvania State University, 1990-95. Served on the board of three agricultural research centers:  The International Potato Center, ISNAR; and and the Internation Fund for Agricultural Research. Named outstanding professor at University of Alabama, 1964-1965; Member Alabama Academy of Honor, 1983.  Received honorary degrees from the University of Alabama, North Carolina State University, Stillman College, and Tri-State University. Thomas Hall on the Penn State Campus is named in his honor. Died March 3, 2014.</p>
<p>",":</strong> American Men and Women of Science, 1982; Who's Who in America, 1984; obituary, <em>Tuscaloosa News</em>, March 4, 2014.</p>
<p>","(s):</strong></p>
<p>A Monographic Study of the Cyrillaceae. Cambridge, Mass.; Gray Herbarium of Harvard University, 1960.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Wild Flowers of Alabama and Adjoining States. Tuscaloosa, Ala.; University of Alabama Press, 1973.</p><p>Poisonous Plants and Venomous Animals of Alabama and Adjoining States. Tuscaloosa: University of Alabama Press, 1990.</p>

				</div>",,"<p><strong>Joint_Editor:</strong></p>
<p>Changes and Issues.  University of Alabama, 1976.</p>
<p>The Rising South. University, Ala.; University of Alabama Press, 1973.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, MABEL CLARE RANDALL",,MABEL CLARE RANDALL THOMAS,,1887-1975,,,,,,,":</strong></p>
<p>Journalist. Born:Jan. 18, 1887 in Livingston, Ala. Parents:Newton Fox and Clare (Brown) Randall. Married:James Manning Wrenn, July 31, 1906. Children:Two. Married:Frank L. Thomas, Apr. 25, 1917. Children:Three. Education:attended Alabama Normal College and Holbrook Normal College. Columnist for Birmingham News, Montgomery Advertiser, Opelika News, Our Southern Home of Livingston, Alabama, and the Fort Worth Star Telegram; storyteller and reviewer of children's books on WTAU, College Station, Tex., and chairwoman of the city's Park Board; contributed stories, plays, and songs to several publications. Member DAR, UDC, Pan Am Round Table, Poetry Society of Texas, Alabama Writers Conclave, and Delta Kappa Gamma. Died November 26, 1975.</p>
<p>",":</strong></p>
<p>Who's Who of American Women, 1970.</p>
<p>","(s):</strong></p>
<p>Sunlight and Shadows. San Antonio, Tex.; Naylor Co., 1966.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, MARY MARTHA HOSFORD",,MARY MARTHA HOSFORD THOMAS,,1927-2015,,,,,,,":</strong></p>
<p>Educator; author. Born:Nov. 11, 1927, in Dallas, Tex. Parents:Hemphill Moffett and Gladys (Garstang) Hosford. Married:Philip B. Thomas, Apr. 12, 1949. Children:Five. Education:attended University of Arkansas, 1944-46; Southern Methodist University, B.A., 1948; University of Michigan, M.A., 1951,;  Emory University, Ph.D., 1971.   Taught history at Northern Michigan University, 1964-1968, Jacksonville State University after 1971. Member:Organization of American Historians, Southern Historical Association, Alabama Education Association, and National Education Association. Received the Myers Center Outstanding Book Award in 1992 and the James F. Sulzby Award from the Alabama Historical Association in 1993, for The New Woman in Alabama.</p>
<p>",":</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>Southern Methodist University; Founding and Early Years. Dallas; Southern Methodist  University Press, 1974.</p><p>Riveting and Rationing in Dixie; Alabama Women in the Second World War.   Tuscaloosa, Ala.; University of Alabama Press, 1987.</p><p>The New Woman in Alabama; Social Reforms and Suffrage, 1890-1920.  University of Alabama Press, 1992.</p>
				</div>",,"<p><strong>Editor;</strong></p>
<p>Stepping out of the Shadows; Alabama Women, 1819-1990.  University of Alabama Press, 1995.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, RONNIE",,RONNIE THOMAS,,1941-2022,,,,,,,":</strong></p>
<p>Sports publicist. Born:Piedmont, Ala. Married:Jo Anne Morrison. Children:One. Education:attended Jacksonville State University and University of Alabama. Worked in Sports Publicity Offices at University of Alabama; on sports staff of Gadsden Times, 1963; sports editor for Florence Times Tri-Cities Daily, 1965-1970; after 1970 sports information director for University of North Alabama. </p>
<p>",":</strong></p>
<p>Victory after the Game. </p>
<p>","(s):</strong></p>
<p>Victory after the Game; the Harlon Hill Story. Florence, Ala.; Popular Books, 1977. </p><p>Man to Man. Russellville, Ala.; Franklin Newspapers, Inc., 1978. </p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, ROSCOE A.",,ROSCOE A. THOMAS,,1928-1994,,,,,,,":</strong></p>
<p>Educator. Born:Dec. 4, 1928 in Washington, D.C. Married:Margie Loretta. Children:One. Education:Catholic University, B.A., M.A., Ph.D. Taught in Washington, D.C., 1959-1961 and 1962-1965; later taught modern languages at Alabama State College and at Air University at Maxwell AFB. Received Smith-Mundt Education Grant to Tunisia 1961-1962. </p>
<p>",":</strong></p>
<p>Precious Poverty. </p>
<p>","(s):</strong></p>
<p>Precious Poverty. New York; Vantage Press, 1969. </p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMAS, WILLIAM HOLCOMBE",,WILLIAM HOLCOMBE THOMAS,,1867-1945,,,,,,,":</strong></p>
<p>Attorney, jurist, writer. Born:July 10, 1867 in Chambers Co., Ala. Parents:William Erasmus Crawford and Emma Jane (Avery) Thomas. Married:Lula Marian McCurdy, June 4, 1891. Children:One. Education:Emory University, A.B. Practiced law, 1888-1902 and 1910-1915; judge City Court of Montgomery, 1902-1910; justice Supreme Court of Alabama, 1915-1945. Member:Child Labor Committee, Alabama Historical Society, American and Alabama Bar Associations, executive committee of Alabama Reform School for Juvenile Negro Delinquents, and Phi Beta Kappa; trustee of Huntingdon College; received several honorary doctorates. </p>
<p>",":</strong></p>
<p>National Cyclopedia of American Biography, Vol. 37; Who Was Who in America, Vol. 2. </p>
<p>","(s):</strong></p>
<p>Birth and Growth of the Constitution of Alabama. Montgomery, Ala.; Paragon Press, 1900. </p><p>The Layman in Religious Life. Montgomery, Ala.; Paragon Press, 1908. </p><p>The New South: An Inside View. Montgomery, Ala.; Paragon Press, 1908. </p>
<p>Contemporary Pagan Witness of Early Christians. Montgomery, Ala.; Paragon Press, 1909. </p>
<p>Governor Samford's Last Christmas; Occasional Poems. Montgomery, Ala.; Paragon Press, 1910. </p>
<p>Jesus Christ and the Commandments. Montgomery, Ala.; Paragon Press, 1910. </p>
<p>The Negro and Crime. Montgomery, Ala.; Paragon Press, 1912. </p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMASON, JAMES ARTHUR",,JAMES ARTHUR THOMASON,,1878-1952,,,,,,,";</strong><br />
Methodist clergyman; farmer; newspaper correspondent. Born:May 22, 1878, Greenville, S.C. Parents:James Monroe and Emma Anna Pinson Thomason. Moved to Marshall County, Alabama, in 1888. Married:Ella Sherrod Smith, 1907. Children: three. Education:attended local schools in Arab and Brashier's Chapel area.  Wrote ""South Fry,"" a column of local news of the Fry Community, and ""General History,"" a column of local history, for several Guntersville newspapers. Died May 21, 1952.<br />",":</strong><br />
Calhoun, Janet. ""Sketches on the Life of J. A. Thomason,"" in Thomason, General History of Marshall County; Obituary.<br />","(s):</strong></p>
General History of Marshall County, Alabama. Arab, Alabama, Historical Society, 1986. [A compilation of newspaper columns.]</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMASON, MICHAEL VINCENT R.",,MICHAEL VINCENT R. THOMASON,,1942-present,,,,,,,":</strong></p>
<p>Historian; professor of history; photography archives curator. Born:June 20, 1942, in W. Palm Beach, Fla. Education:University of the South, B.A., M.A.; Duke University, Ph.D. After 1978 taught at University of South Alabama and was director of its photographic archives. Had photographic exhibits in Mobile, 1977 and 1980; Birmingham, 1981.</p>
<p>",":</strong></p>
<p>Who's Who in American Art, 1982; Trying Times.</p>
<p>","(s):</strong></p>
<p>A New Day Coming; Alabama since 1930. Troy, Ala.; Troy State University Press, 1978.</p>
<p>Trying Times. Tuscaloosa, Ala.; University of Alabama Press, 1985.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Mobile; American River City. Mobile, Ala.; Easter Pub. Co., 1975.</p><p>The Image of Progress; Alabama Photographs 1872-1917. University, Ala.; University of Alabama Press, 1980.</p><p>Mobile; Life and Times of a Great Southern City. Woodland Hills, Calif.; Windsor Pub., 1981.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMPSON, FANNIE LEE MCCONDICHIE",,FANNIE LEE MCCONDICHIE THOMPSON,,1891-unknown,,,,,,,":</strong></p>
<p>Public school teacher.. Born:Furman, Ala. Parents:Herbert Curtis and Emma Farrior McCondichie.  Married:William Ward Thompson. Children:One foster child. Education:received degrees from Huntingdon and Howard Colleges; further study at University of Alabama, Birmingham Southern College, and Peabody College. Taught in public schools of Alabama for 50 years. Awarded honorary D.H.L. degree by London Institute of Applied Letters; sponsor of Red Cross and March of Dimes.</p>
<p>",":</strong></p>
<p>Book jacket to Presentations for Children.</p>
<p>","(s):</strong></p>
<p>Presentations for Children:the Fun of Reading. Hicksville, N.Y.; Exposition Press, 1960.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMPSON, HENRIETTA MARY",,HENRIETTA MARY THOMPSON,,1896-1986,,,,,,,":</strong></p>
<p>Home economist; educator. Born:April 12, 1896, New Orleans, La. Parents:George P. and Alphonsine (Walz) Thompson. Education:Newcomb College, A.B.; Columbia University, M.A. Taught at Lewisburg College, 1917-1919; University of Georgia, 1919-1922; Alabama Polytechnic Institute, 1923-1928; University of Alabama after 1928; with South Carolina Extension Service (Winthrop) in summer 1926 and U.S. Bureau of Home Economics (Winthrop) in summer 1928; visiting professor at Teacher's College, Columbia University summer of 1926; contributed to educational and scientific periodicals. Member American Association of University Women. The School of Home Economics at the University of Alabama established the Henrietta Thompson Fashion Achievement Award in her honor. Died August 1986.</p>
<p>",":</strong></p>
<p>Who's Who of American Women, 1968.</p>
<p>","(s):</strong></p>
<p>Clothing for Children. New York; Wiley, 1949.</p>

				</div>",,"<p><strong>Papers; </strong></p>
<p>Letters and correspondence of Henrietta Thompson are held by the University of Alabama Libraries.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
